,_step,_runtime,trainable_parameters,_timestamp,rewards/total_std,rewards/sim_std,rewards/cer_std,train/loss,train/lr,rewards/raw_cer_mean,train/avg_epoch_loss,train/step,train/skipped_batches,rewards/raw_sim_mean,rewards/total_mean,eval/loss,eval/best_loss
10,10,759.895769884,,1772453288.6664221,0.49779728055000305,0.9955945611000061,0.0,0.1893603503704071,2.133333333333334e-06,-0.05242684483528137,0.5683728063479065,10.0,0.0,0.8673497438430786,-4.0978193283081055e-07,0.16599103808403015,0.16599103808403015
11,11,794.746362059,,1772453334.1861947,0.49677014350891113,0.9935402870178223,0.0,0.17569200694561005,2.4000000000000003e-06,-0.05299213528633118,0.5341468605805527,11.0,0.0,0.8965827226638794,-2.2351741790771484e-07,,
12,12,821.661293153,,1772453365.642554,0.49808716773986816,0.9961743354797363,0.0,0.19590222835540771,2.666666666666667e-06,-0.05386511608958244,0.5060561962115268,12.0,0.0,0.8627558946609497,1.30385160446167e-07,,
13,13,849.615457836,,1772453394.6524289,0.49651241302490234,0.9930248260498047,0.0,0.1777813583612442,2.9333333333333338e-06,-0.055747706443071365,0.48204375688846296,13.0,0.0,0.8932616710662842,-7.450580596923828e-09,,
14,14,1069.166118462,,1772453611.1784935,0.4952511787414551,0.9905023574829102,0.0,0.20675353705883026,3.2000000000000003e-06,-0.05194883048534393,0.4616168274411133,14.0,0.0,0.8798632025718689,-5.289912223815918e-07,,
15,15,1101.717297761,,1772453647.9839242,0.4975123107433319,0.9950246214866638,0.0,0.21151438355445862,3.4666666666666672e-06,-0.05211067944765091,0.45471030014256636,15.0,0.0,0.9064441919326782,1.0132789611816406e-06,0.16592030227184296,0.16592030227184296
16,16,1126.171718068,,1772453671.906098,0.49751898646354675,0.9950379729270935,0.0,0.17455346882343292,3.7333333333333337e-06,-0.05196831002831459,0.43803899141494185,16.0,0.0,0.8819862604141235,-8.344650268554688e-07,,
17,17,1153.16026836,,1772453699.4665973,0.4976896047592163,0.9953792095184326,0.0,0.23794692754745483,4.000000000000001e-06,-0.05230257287621498,0.42540435766910806,17.0,0.0,0.8810738325119019,-5.178153514862061e-07,,
18,18,1182.776076526,,1772453729.1472833,0.49810126423835754,0.9962025284767151,0.0,0.2030879557132721,4.266666666666668e-06,-0.05234993249177933,0.41248116952677566,18.0,0.0,0.8835437297821045,-4.917383193969727e-07,,
19,19,1407.509297753,,1772453954.1046207,0.49757280945777893,0.9951456189155579,0.0,0.18548519909381866,4.266666666666668e-06,-0.051992591470479965,0.4013145997336036,19.0,0.0,0.8622472882270813,9.834766387939453e-07,,
20,20,1440.75987505,,1772453985.152839,0.4985232353210449,0.9970464706420898,0.0,0.17400120198726654,4.533333333333334e-06,-0.05211885645985603,0.39011231111362576,20.0,0.0,0.8837976455688477,-3.3527612686157227e-07,0.16522155702114105,0.16522155702114105
21,21,1471.776840453,,1772454012.3849807,0.49739736318588257,0.9947947263717651,0.0,0.16485224664211273,4.800000000000001e-06,-0.05312620848417282,0.38050552315655206,21.0,0.0,0.887315034866333,5.736947059631348e-07,,
22,22,1503.074496677,,1772454049.3690772,0.4971786439418793,0.9943572878837585,0.0,0.16808484494686127,5.0666666666666676e-06,-0.051686108112335205,0.3741528421471065,22.0,0.0,0.9029824733734131,-7.450580596923828e-07,,
23,23,1528.235629567,,1772454074.4958575,0.6247254014015198,0.9961907863616943,0.992026686668396,0.18701747059822083,5.333333333333334e-06,-0.058504845947027206,0.3658941619746063,23.0,0.0,0.8889031410217285,-8.344650268554688e-07,,
24,24,1746.461499462,,1772454293.056754,0.4977060854434967,0.9954121708869934,0.0,0.22400742769241333,5.600000000000001e-06,-0.051728256046772,0.35894762297781807,24.0,0.0,0.9008165597915649,-5.21540641784668e-07,,
25,25,1775.966850042,,1772454322.2669578,0.49835699796676636,0.9967139959335327,0.0,0.20002810657024384,5.8666666666666675e-06,-0.05273641645908356,0.3519103550165892,25.0,0.0,0.866327166557312,4.172325134277344e-07,0.16588890552520752,
26,26,1807.755732462,,1772454349.892978,0.4967695474624634,0.9935390949249268,0.0,0.19759804010391235,6.133333333333334e-06,-0.05387076735496521,0.3456468880892946,26.0,0.0,0.8761565685272217,2.384185791015625e-07,,
